ADDRESS,BUILDING COMPANY NAME
61 BLEECKER ST, BROOKLYN, NY 11221,BLEECKER BRICKS LLC
406 MARCUS GARVEY BLVD, BROOKLYN, NY 11216, MA MARCUS BRICK LLC
18 COOPER ST, BROOKLYN, NY 11207,18 BRICKS LLC
416 HAWTHORNE ST, BROOKLYN, NY 11207,HOMEWOOD GARDENS ESTATES LLC
655 BROOKLYN AVE, BROOKLYN, NY 11203,EASTERN HAWTHORNE REALTY
1131 PRESIDENT ST, BROOKLYN, NY 11225,EASTERN PRESIDENTIAL ESTATES LLC
372 MONTGOMERY ST, BROOKLYN, NY 11225,EASTERN MONTGOMERY ESTATES LLC
1155 EAST 35TH ST, BROOKLYN, NY 11210,MIDWOOD 35TH REALTY LLC
311 CLARKSON AVE, BROOKLYN, NY 11226,EASTERN CLARKSON ESTATES LLC
424 HAWTHORNE ST, BROOKLYN, NY 11203,HOMEWOOD GARDEN ESTATES LLC
803 NOSTRAND AVE, BROOKLYN, NY 11225,EASTERN NOSTRAND ESTATES LLC
709 DEKALB AVE, BROOKLYN, NY 11216,DEKALB MARCY ESTATES LLC
864 NOSTRAND AVE, BROOKLYN, NY 11225,864 NOSTRAND ESTATES LLC
433 ROGERS AVE, BROOKLYN, NY 11225,LEFFERTS LINCOLN ESTATES LLC
661 BROOKLYN AVE, BROOKLYN, NY 11216,EASTERN HAWTHORNE REALTY LLC
305 CLARKSON AVE, BROOKLYN, NY 11226,WETERN CLARKSON ESTATES LLC
709 DEKALB AVE, BROOKLYN, NY 11216,DEKALB MARCY ESTATES
313 CLARKSON AVE, BROOKLYN, NY 11226,EASTERN CLARKSON ESTATES LLC
172 LEFFERTS PLACE, BROOKLYN, NY 11238,ZT 172 LEFFERTS PL LLC
244 NEW YORK AVE, BROOKLYN, NY 11216,ZT 244 NEW YORK LLC
267 CLIFTON PLACE, BROOKLYN, NY 11216,ZT REALTY PROP 1 LLC
276 THROOP AVE, BROOKLYN, NY 11206,ZT REALTY PROP 2 LLC
293 STUYVESANT AVE, BROOKLYN, NY 11233,ZT 293 STUYVESANT LLC
299 PUTNAM AVE, BROOKLYN, NY 11216,ZT 299-303 PUTNAM LLC
303 PUTNAM AVE, BROOKLYN, NY 11216,ZT 299-303 PUTNAM LLC
3 MACDONOUGH ST, BROOKLYN, NY 11216,ZT REALTY PROP 3 LLC
306 PROSPECT PLACE, BROOKLYN, NY 11238,ZT 306 PROSPECT LLC
403 MACON ST, BROOKLYN, NY 11233,ZT 403 MACON LLC
5 MACDONOUGH ST, BROOKLYN, NY 11216,ZT 5 MACDONOUGH LLC
585 PARK PLACE, BROOKLYN, NY 11238,ZT 585 PARK PL LLC
874 BERGEN STREET, BROOKLYN, NY 11238,ZT 874 BERGEN LLC
942 BERGEN STREET, BROOKLYN, NY 11238,ZT 942 BERGEN LLC
95 KINGSTON AVE, BROOKLYN, NY 11222,ZT 95 KINGSTON LLC
1045 UNION STREET, BROOKLYN, NY 11225,1045 UNION ASSOCIATES LLC
1396 DEAN ST, BROOKLYN, NY 11216,ZT 1400 DEAN LLC
1398 DEAN ST, BROOKLYN, NY 11216,ZT 1400 DEAN LLC
1400 DEAN ST, BROOKLYN, NY 11216,ZT 1400 DEAN LLC
701 ST. MARKS AVE, BROOKLYN, NY 11216,ZT REALTY 40 CUMBERLAND, LLC
927 PUTNAM AVE, BROOKLYN, NY 11221,ZT 927-931 PUTNAM LLC
227 MALCOLM X BLVD, BROOKLYN, NY 11221,CHAUNCEY CAPITAL, LLC
759 MARCY AVE, BROOKLYN, NY 11216,759 MARCY ACQUISITIONS, LLC
381 BERRY ST, BROOKLYN, NY 11249,BROADWAY AND BERRY ASSOCIATES
300 SOUTH 3RD ST, BROOKLYN, NY 11211,300 SOUTH REALTY CORP.
1129 43RD STREET, BROOKLYN, NY 11219,43RD ESTATES LLC
1135 43RD STREET, BROOKLYN, NY 11219,43RD ESTATES LLC
1497 CARROLL ST, BROOKLYN, NY 11213,SCHAFMAN REALTY LLC
213 UNION AVENUE, BROOKLYN, NY 11211,213 UNION REALTY LLC
280 CROWN STREET, BROOKLYN, NY 11225,280 CROWN LLC
322 RODNEY STREET, BROOKLYN, NY 11211,322 RODNEY STREET LLC
134 BOERUM STREET, BROOKLYN, NY 11206,BITOCHEN REALTY CORP.
